clvCliente,clvMunicipio,nombreClie,apPaternoClie,apMaternoClie,fechaNacimientoClie,correoClie
1,7,Antonia,Sierra,Rivero,1965-07-05,docasio@ortega-bahena.biz
2,8,Araceli,Cardenas,Quintana,1996-07-12,tcisneros@yahoo.com
3,10,Marcela,Granados,Soto,1970-10-14,leonmiguel@grupo.biz
4,5,Reynaldo,Arriaga,Tejeda,2005-01-18,ulerma@hotmail.com
5,6,Soledad,Ávila,Serrano,1982-04-20,urosado@gastelum.info
6,4,Alejandra,de León,Rubio,1983-11-26,qluna@yahoo.com
7,10,Lucía,Vera,Anguiano,1979-12-15,anaalcaraz@vallejo.com
8,1,Luz,Rivera,Chacón,2003-07-03,virginiachapa@hotmail.com
9,3,Sessa,Garrido,Oquendo,1960-11-07,pedrazanoelia@gmail.com
10,10,Fernando,Ballesteros,Gastélum,1989-04-19,reynahoracio@corporacin.com
11,2,Hermelinda,Maya,Varela,1961-05-23,clemente37@gmail.com
12,9,Rebeca,Gastélum,Guajardo,1971-07-08,pablo48@yahoo.com
13,6,Sonia,Alcala,Gómez,1987-06-14,danielriojas@hotmail.com
14,10,Paola,Medina,Méndez,2001-07-07,colonclemente@benavidez.org
15,5,Julio,Narváez,Lugo,1978-08-12,balmonte@proyectos.com
16,2,Patricia,Huerta,Ozuna,1994-03-14,xsepulveda@yahoo.com
17,5,Eugenio,Correa,Esquibel,1961-08-19,nadiaalarcon@yahoo.com
18,6,Elvia,Padilla,Saldaña,1996-07-09,carrascosocorro@gmail.com
19,3,José Manuél,Báez,Acosta,1985-02-16,yolanda58@gmail.com
20,7,Rubén,de la O,Galván,1983-05-02,fernando74@hotmail.com
